"Package","Version","ReleaseDate"
"acorn-import-assertions","1.9.0","2023-05-12T13:11:46.801Z"
"@types/eslint-scope","3.7.7","2023-11-07T02:22:30.403Z"
"supports-preserve-symlinks-flag","1.0.0","2022-01-03T07:22:56.640Z"
"timsort","0.3.0","2016-07-24T19:41:31.319Z"
"diff-sequences","25.2.6","2020-04-02T10:29:09.129Z"
"lolex","5.1.2","2019-12-19T12:11:04.123Z"
"@sinonjs/commons","1.8.6","2022-11-28T17:37:36.337Z"
"@types/yargs-parser","21.0.3","2023-11-07T21:37:05.125Z"
"validator","8.2.0","2017-09-09T05:49:04.158Z"
"symbol","0.2.3","2016-05-25T21:38:26.627Z"
"invert-kv","1.0.0","2014-08-13T19:22:00.751Z"
"lcid","1.0.0","2015-03-16T07:04:47.515Z"
"y18n","3.2.2","2021-01-04T22:47:56.362Z"
"window-size","0.2.0","2016-01-26T23:02:04.787Z"
"require-main-filename","1.0.1","2016-02-17T05:54:56.900Z"
"pkg-conf","1.1.3","2016-05-24T04:00:17.609Z"
"strip-bom","2.0.0","2015-06-29T13:13:31.964Z"
"parse-json","2.2.0","2015-08-31T16:36:30.005Z"
"path-exists","2.1.0","2015-11-14T13:55:22.456Z"
"load-json-file","1.1.0","2015-11-14T19:30:26.909Z"
"find-up","1.1.2","2016-03-05T17:45:57.070Z"
"os-locale","1.4.0","2015-09-08T06:10:00.666Z"
"lodash.assign","4.2.0","2016-08-13T17:36:38.551Z"
"cliui","3.2.0","2016-04-11T02:47:36.139Z"
"ansi-regex","2.1.1","2017-01-14T03:09:39.887Z"
"is-fullwidth-code-point","1.0.0","2015-07-16T22:00:18.162Z"
"wrap-ansi","2.1.0","2016-11-29T17:21:24.416Z"
"strip-ansi","3.0.1","2016-02-21T12:21:22.998Z"
"string-width","1.0.2","2016-08-14T15:23:54.869Z"
"sax","1.4.3","2025-11-04T16:34:34.013Z"
"typedarray-to-buffer","3.1.5","2018-03-08T19:30:33.753Z"
"is-typedarray","1.0.0","2015-05-17T01:03:39.627Z"
"load-yaml-file","0.2.0","2019-04-05T17:05:37.991Z"
"strip-bom","3.0.0","2016-04-30T16:02:44.907Z"
"pify","4.0.1","2018-10-22T12:58:59.524Z"
"is-weakset","2.0.4","2024-12-17T05:37:43.401Z"
"is-weakmap","2.0.2","2024-03-08T20:18:32.058Z"
"is-map","2.0.3","2024-03-08T16:49:07.811Z"
"generator-function","2.0.1","2025-09-30T18:23:33.207Z"
"async-function","1.0.0","2025-01-23T03:15:54.266Z"
"which-collection","1.0.2","2024-03-08T22:53:04.536Z"
"is-generator-function","1.1.2","2025-09-30T18:41:14.522Z"
"is-finalizationregistry","1.1.1","2024-12-17T05:37:19.121Z"
"is-async-function","2.1.1","2025-01-23T06:28:33.366Z"
"is-number-object","1.1.1","2024-12-16T02:59:16.111Z"
"is-boolean-object","1.2.2","2025-02-05T02:48:12.118Z"
"is-bigint","1.1.0","2024-12-02T18:42:58.216Z"
"isexe","2.0.0","2017-03-23T00:53:16.356Z"
"tr46","5.1.1","2025-04-17T00:47:38.158Z"
"websocket-extensions","0.1.4","2020-06-02T13:00:09.535Z"
"http-parser-js","0.5.10","2025-04-08T14:12:27.703Z"
"shallow-clone","3.0.1","2019-04-16T00:06:42.461Z"
"kind-of","6.0.3","2020-01-16T16:59:19.808Z"
"wildcard","2.0.1","2023-04-24T14:00:51.975Z"
"clone-deep","4.0.1","2018-11-22T00:00:24.930Z"
"kind-of","6.0.3","2020-01-16T16:59:19.808Z"
"is-plain-object","2.0.4","2017-07-11T22:41:10.371Z"
"minimalistic-assert","1.0.1","2018-04-11T12:21:23.075Z"
"wbuf","1.7.3","2018-03-10T21:51:19.126Z"
"obuf","1.1.2","2018-03-10T21:33:18.385Z"
"hpack.js","2.1.6","2016-09-18T18:00:36.108Z"
"detect-node","2.1.0","2021-05-16T06:34:44.130Z"
"spdy-transport","3.0.0","2018-11-08T07:08:53.372Z"
"readable-stream","3.6.2","2023-03-10T09:02:34.449Z"
"select-hose","2.0.0","2015-07-14T18:02:25.026Z"
"http-deceiver","1.2.7","2016-05-17T15:28:25.119Z"
"handle-thing","2.0.1","2020-03-25T16:34:46.090Z"
"@types/node-forge","1.3.14","2025-08-20T18:41:20.874Z"
"retry","0.13.1","2021-06-21T07:45:32.286Z"
"is-network-error","1.3.0","2025-09-18T16:43:20.189Z"
"@types/retry","0.12.2","2022-04-26T19:32:23.281Z"
"@leichtgewicht/ip-codec","2.0.5","2024-03-27T04:42:14.678Z"
"thunky","1.1.0","2019-10-14T08:54:30.361Z"
